drug,evidence_score,n_papers,n_positive,n_negative,models,net_positive,signed_score,confidence
(+)-tetrahydropalmatine,18.7,4,3,0,animal,3,27.115,0.1
(+)-terbutaline,17.3,6,3,0,animal;human_observational,3,25.085,0.275
(?)-thiopental,41.9,13,10,2,animal,8,18.436000000000003,0.325
(s)-mephenytoin,7.5,1,1,0,animal,1,8.625,0.025
(s)-donepezil,6.9,1,1,0,animal,1,7.935,0.025
"1,2-dichloroethane",6.9,2,1,0,animal,1,7.935,0.05
1-butanol,5.800000000000001,4,2,0,animal,2,7.540000000000001,0.1
(+)-ethosuximide,5.199999999999999,6,2,0,animal,2,6.759999999999999,0.15
(-)-camphor,4.6,1,1,0,animal,1,5.289999999999999,0.025
(s)-(+)-ibuprofen,3.2,2,1,0,animal,1,3.6799999999999997,0.05
58-08-2,2.6,1,1,0,animal,1,2.9899999999999998,0.025
(+)-nicotine,2.6,3,1,0,animal,1,2.9899999999999998,0.075
(-)-dizocilpine,9.2,9,2,0,animal,2,2.392,0.225
"2,2,2-tribromoethanol",17.6,15,4,5,animal,-1,0.8800000000000001,0.375
(+)-cannabidiol,15.3,12,4,6,animal,-2,0.7650000000000001,0.3
(-)-nomifensine,0.0,1,0,0,animal,0,0.0,0.025
(-)-pentazocine,0.0,1,0,0,animal,0,0.0,0.025
(+)-naloxone,0.0,1,0,0,animal,0,0.0,0.025
(+)-cathinone,0.0,1,0,0,animal,0,0.0,0.025
(+)-alaproclate,0.0,1,0,1,animal,-1,0.0,0.025
(+)-physostigmine,0.0,3,0,0,animal,0,0.0,0.075
(e)-tamoxifen,0.0,1,0,0,animal,0,0.0,0.025
(s)-thalidomide,0.0,1,0,0,animal,0,0.0,0.025
-,0.0,3,0,0,animal,0,0.0,0.075
"2,5-dihydroxybenzoic acid",0.0,2,0,0,animal,0,0.0,0.05
1-pentanol,0.0,1,0,1,human_observational,-1,0.0,0.025
2-butanone,0.0,1,0,0,animal,0,0.0,0.025
4-aminopyridine,0.0,2,0,1,animal,-1,0.0,0.05
5-hydroxytryptophan,0.0,1,0,0,animal,0,0.0,0.025
5d,0.0,1,0,1,animal,-1,0.0,0.025
